

ECC | error correction code (ECC)  System memory (RAM) with built-in error correction security. It is more expensive than normal memory and requires motherboard support. It is typically only used in servers.

escalation | In the context of support procedures, incident response, and breach-reporting, escalation is the process of involving expert and senior staff to assist in problem management.

eSATA | external serial advanced technology attachment (eSATA)  Variant of SATA cabling designed for external connectivity.

fan | Cooling device fitted to PC cases and components to improve air flow.

fiber optic cable | Network cable type that uses light signals as the basis for data transmission. Infrared light pulses are transmitted down the glass core of the fiber. The cladding that surrounds this core reflects light back to ensure transmission efficiency. Two main categories of fiber are available; multi-mode, which uses cheaper, shorter wavelength LEDs or VCSEL diodes, or single-mode, which uses more expensive, longer wavelength laser diodes. At the receiving end of the cable, light-sensitive diodes re-convert the light pulse into an electrical signal. Fiber optic cable is immune to eavesdropping and EMI, has low attenuation, supports rates of 10 Gb/s+, and is light and compact.

FTTP | fiber to premise (FTTP)  Internet connection type that uses a fiber link between the subscriber premises and ISP network. Fiber to the premises (FTTP) uses a full fiber link, while fiber to the curb (FTTC) retains a short segment of copper wire between the subscriber premises and a street cabinet.

filament | 3-D print device media type.

file server | In file server-based networks, a central machine provides dedicated file and print services to workstations. Benefits of server-based networks include ease of administration through centralization.

FTP | file transfer protocol (FTP)  Application protocol used to transfer files between network hosts. Variants include S(ecure)FTP, FTP with SSL (FTPS and FTPES) and T(rivial)FTP. FTP utilizes ports 20 and 21.

finisher unit | Print device component used to automate document production, such as hole punching or stapling print jobs.

firewall | Software or hardware device that protects a network segment or individual host by filtering packets to an access control list.

firmware | Software instructions embedded on a hardware device such as a computer motherboard. Modern types of firmware are stored in flash memory and can be updated more easily than legacy programmable read-only memory (ROM) types.

flash drive | Solid state flash memory provisioned as a peripheral device with a USB interface.

flatbed scanner | Type of scanner where the object is placed on a glass faceplate and the scan head moves underneath it.

form factor | Size and shape of a component, determining its compatibility. Form factor is most closely associated with PC motherboard, case, and power supply designs.

frequency bands | Portion of the microwave radio-frequency spectrum in which wireless products operate, such as 2.4 GHz band or 5 GHz band.

F-type connector | Screw down connector used with coaxial cable.

FQDN | fully qualified domain name (FQDN)  Unique label specified in a DNS hierarchy to identify a particular host within a subdomain within a top-level domain.

fuser | Assembly in a laser print device that fixes toner to media. This is typically a combination of a heat and pressure roller.

GPS | Global Positioning System (GPS)  Means of determining a receiver's position on Earth based on information received from orbital satellites.

GSM | Global System for Mobile Communication (GSM)  Standard for cellular radio communications and data transfer. GSM phones use a SIM card to identify the subscriber and network provider. 4G and later data standards are developed for GSM.

Google Workspace | Mobile/cloud computing office productivity and data storage suite operated by Google.

HDD | hard disk drive (HDD)  Mass storage device that uses mechanical platters with a magnetic coating that are spun under disk heads that can read and write to locations on each platter (sectors).

HSM | hardware security module (HSM)  An appliance for generating and storing cryptographic keys. This sort of solution may be less susceptible to tampering and insider threats than software-based storage.

header (motherboard) | Connector on the motherboard for internal cabling, such as fan power and front panel ports and buttons.

headset | Peripheral device supporting audio input (microphone) and output (speaker headphones).

heat sink | Cooling device fitted to PC components to optimize heat transfer.

HA | high availability (HA)  Metric that defines how closely systems approach the goal of providing data availability 100% of the time while maintaining a high level of system performance.

HDMI | High-Definition Multimedia Interface (HDMI)  Digital audio/video interface developed for use on both consumer electronics and computer equipment.

hostname | A human-readable name that identifies a network host.

hotspot | Using the cellular data plan of a mobile device to provide Internet access to a laptop or PC. The PC can be tethered to the mobile by USB, Bluetooth, or Wi-Fi (a mobile hotspot).

hub | Layer 1 (Physical) network device used to implement a star network topology on legacy Ethernet networks, working as a multiport repeater.

hybrid cloud | Cloud deployment that uses both private and public elements.

HTTP | HyperText Transfer Protocol/HTTP Secure Application protocol used to provide web content to browsers. HTTP uses port 80. HTTPS(ecure) provides for encrypted transfers, using TLS and port 443.

iCloud | Mobile/cloud computing office-productivity and data-storage suite operated by Apple and closely integrated with macOS and iOS. 

image | Clone copy of an operating system installation (including installed software, settings, and user data) stored as a file on disk. VMs use images to store persistent data, and the technology is also used to make system backups.

imaging drum | Drum or belt in a laser printer that supports a high electric charge that can be selectively removed using a laser or LED light source.

impact printer | Typically a dot matrix printer, this uses pressure to transfer ink from a ribbon onto paper in a particular pattern, similar to the mechanism of a typewriter.

IPS | indoor positioning system (IPS)  Technology that can derive a device's location when indoors by triangulating its proximity to radio sources such as Bluetooth beacons or Wi-Fi access points.

ITX | information technology extended (ITX)  Series of motherboard form factors designed for small form factor (SFF) computers and appliances.

IaaS | infrastructure as a service (IaaS)  Cloud service model that provisions virtual machines and network infrastructure.

injector | A device that can supply Power over Ethernet (PoE) if the Ethernet switch ports do not support it.

inkjet printer | Type of printer where colored ink is sprayed onto the paper using microscopic nozzles in the print head. There are two main types of ink dispersion system: thermal shock (heating the ink to form a bubble that bursts through the nozzles) and piezoelectric (using a tiny element that changes shape to act as a pump).

in-plane switching | Type of TFT display with the best overall quality, including wide viewing angles, good contrast ratio, and good response times (on premium units).

input voltage | Range of alternating current (AC) voltages that a PSU can accept when connected to grid power. Some PSUs are manually switched between low-line 110-120 VAC and high-line 220-240 VAC.

IOPS | input/output operations per second (IOPS)  Performance indicator that measures the time taken to complete read/write operations.

IDC | insulation displacement connector (IDC)  Block used to terminate twisted pair cabling at a wall plate or patch panel available in different formats, such as 110, BIX, and Krone.

IDE | integrated drive electronics (IDE)  Legacy mass storage bus, most commonly implemented as extended IDE (EIDE) and also referred to as parallel advanced technology attachment (PATA). Each IDE controller port supports two devices connected over ribbon cable with three connectors (controller, primary device, and secondary device).

Intel | Intel processors were used in the first IBM PCs, and the company's CPUs and chipsets continue to dominate the PC and laptop market.

IMAP | Internet Message Access Protocol (IMAP)  Application protocol providing a means for a client to access and manage email messages stored in a mailbox on a remote server. IMAP4 utilizes TCP port number 143, while the secure version IMAPS uses TCP/993.

IoT | Internet of Things (IoT)  Devices that can report state and configuration data and be remotely managed over IP networks.

IP | Internet Protocol (IP)  Network (Internet) layer protocol in the TCP/IP suite providing packet addressing and routing for all higher-level protocols in the suite.

ISP | Internet Service Provider (ISP)  Provides Internet connectivity and web services to its customers.

IDS | intrusion detection system (IDS)  Security appliance or software that analyzes data from a packet sniffer to identify traffic that violates policies or rules.

inverter | Fluorescent lamp backlights require AC power. An inverter component converts DC power from the motherboard to AC. The inverter can fail separately to the backlight.

IPv4 | Version of the Internet Protocol that uses 32-bit address values and subnet masks typically expressed in dotted decimal notation.

IPv6 | Version of the Internet Protocol that uses 64-bit address values typically expressed in canonical hex notation with slash notation network prefixes.

jitter | Variation in the time it takes for a signal to reach the recipient. Jitter manifests itself as an inconsistent rate of packet delivery. If packet loss or delay is&nbsp;excessive, then noticeable audio or video problems (artifacts) are experienced by users.

LGA | land grid array (LGA) CPU socket form factor used predominantly by Intel where connector pins are located on the socket.

laser printer | Type of printer that develops an image on a drum by using electrical charges to attract special toner, then applying it to paper. The toner is then fixed to the paper using a high-heat and pressure roller (fuser). The process can be used with black toner only or CMYK toner cartridges to create full-color prints.

latency | Time taken for a signal to reach the recipient, measured in milliseconds. Latency is a particular problem for two-way applications, such as VoIP (telephone) and online conferencing.

lease (DHCP) | Address configuration assigned by a DHCP server to a client for a limited period.

legacy system | Hardware or software product that is no longer supported by its vendor and therefore no longer provided with security updates and patches.

LED | light emitting diode (LED)  Small, low-power lamps used both as diagnostic indicators, the backlight for a TFT display, and (as an organic LED array) in high-quality flat panels.

Lightning | Proprietary connector and interface used by Apple iPhone and iPad devices.

LDAP | Lightweight Directory Access Protocol (LDAP)  Protocol used to access network directory databases, which store information about authorized users and their privileges, as well as other organizational information.

liquid cooling | Cooling system that uses system of pipes, water blocks, and pumps to transfer heat away from components.

LCD | liquid crystal display (LCD) Flat-panel display technology where the image is made up of liquid crystal cells with color filters controlled using electrical charges. The display must be illuminated by a backlight.

load balancer | Type of switch, router, or software that distributes client requests between different resources, such as communications links or similarly configured servers. This provides fault tolerance and improves throughput.

LAN | local area network (LAN)  Network scope restricted to a single geographic location and owned/managed by a single organization.

LC | local connector (LC)  Small form factor push-pull fiber optic connector; available in simplex and duplex versions.

location service | Feature of mobile computing that identifies or estimates the device's geographical position using GPS and/or network data. 

LTE | Long Term Evolution (LTE)  Packet data communications specification providing an upgrade path for both GSM and CDMA cellular networks. LTE Advanced is designed to provide 4G standard network access.

long-range fixed wireless | Ground-based microwave transmission that supports long distances over precisely aligned directional antennas. These products can either make privileged use of licensed frequency bands or use public unlicensed radio-frequency spectrum.

loopback adapter | Tool used to verify the integrity of a network interface port by checking that it can receive a signal generated by itself.

M.2 | Hardware specification for internal adapter cards. M.2 is often used for PCIe-based SSDs.

maintenance kit | On a laser printer, the fuser unit (the part that fuses toner onto the paper) needs replacing according to the maintenance kit schedule. A maintenance kit also includes new pickup, feed, and separation rollers. It may also include transfer components (roller or belt), or these may be replaced on a different schedule, depending on the printer model.

managed switch | Ethernet switch that is configurable via a command-line interface or SDN controller.

mass storage | Device with a persistent storage mechanism, such as hard drives, solid state drives, and optical drives.

MAC | media access control (MAC)  Hardware address that uniquely identifies each network interface at layer 2 (Data Link). A MAC address is 48 bits long with the first half representing the manufacturer's organizationally unique identifier (OUI).

memory card | Solid state flash memory provisioned as a peripheral device in a proprietary adapter card form factors, such as Secure Digital and microSD.

metered utilization | Feature of cloud service models that allows customers to track and pay for precise compute, storage, and network resource units.

MAN | metropolitan area network (MAN)  Network scope covers the area of a city (that is, no more than tens of kilometers).

Microsoft 365 | Mobile/cloud computing office productivity and data storage suite operated by Microsoft.

MAM | mobile application management (MAM)  Enterprise management function that enables control over apps and storage for mobile devices and other endpoints.

MDM | mobile device management (MDM)  Process and supporting technologies for tracking, controlling, and securing the organization's mobile infrastructure.

modular power supply | PSU design where power cables can be attached to ports on the unit as needed.

Molex connector | Legacy power connector for internal devices such as hard drives and optical drives.

mSATA | Connector form factor for internal solid state drives.

multicore | CPU design that puts two chips onto the same package. Most CPUs are multicore (more than two cores).

MMF | multimode fiber (MMF)  Fiber optic cable type using LED or vertical cavity surface emitting laser optics and graded using optical multimode types for core size and bandwidth.

MIMO | multiple input multiple output (MIMO)  Use of multiple reception and transmission antennas to boost wireless bandwidth via spatial multiplexing and to boost range and signal reliability via spatial diversity.

multisocket | Motherboard configuration with multiple CPU sockets. The CPUs installed must be identical.

multithreading | CPU architecture that exposes two or more logical processors to the OS, delivering performance benefits similar to multicore and multisocket to threaded applications.

MU-MIMO | multiuser MIMO (MU-MIMO)  Use of spatial multiplexing to allow a wireless access point to support multiple client stations simultaneously.

MX record | Type of DNS resource record used to identify the email servers used by a domain.

NFC | near-field communication (NFC)  Standard for two-way radio communications over very short (around four inches) distances, facilitating contactless payment and similar technologies. NFC is based on RFID.

NetBIOS | Session management protocol used to provide name registration and resolution services on legacy Microsoft networks.

NAT | network address translation (NAT)  Routing mechanism that conceals internal addressing schemes from the public Internet by translating between a single public address on the external side of a router and private, non-routable addresses internally. 

NAS | network attached storage (NAS)  Storage device enclosure with network port and an embedded OS that supports typical network file access protocols (FTP and SMB for instance).

NIC | network interface card (NIC)  Adapter card that provides one or more Ethernet ports for connecting hosts to a network so that they can exchange data over a link.

network mask | Number of bits applied to an IP address to mask the network ID portion from the host/interface ID portion.

NVMe | non-volatile memory express (NVMe)  Internal interface for connecting flash memory devices, such as SSDs, directly to a PCI Express bus. NVMe allows much higher transfer rates than SATA/AHCI.

OT | operational technology (OT)  Communications network designed to implement an industrial control system rather than data networking.

OCR | optical character recognition (OCR)  Software that can identify the shapes of characters and digits to convert them from printed images to electronic data files that can be modified in a word-processing program.

optical drive | Mass storage device that supports CD, DVD, and/or Blu-ray media. Burner-type drives also support recording and rewriting.

ONT | optical network terminal (ONT)  Device that converts between optical and electrical signaling deployed to facilitate full fiber Internet connection types.

OLED | organic LED (OLED)  Type of flat panel display where each pixel is implemented as an LED, removing the need for a separate backlight.

OFDMA | orthogonal frequency division multiple access (OFDMA)  Feature of Wi-Fi 6 allowing an access point to serve multiple client stations simultaneously.

output voltage | Direct current (DC) 3.3 VDC, 5 VDC, and 12 VDC power supplied over PSU cables to computer components.

P1 connector | Main power connector from the PSU to the motherboard.

PDL | page description language (PDL)  Instructions that the print device can use to create an image on the page (for most printers, this means a raster describing the placement of dots on the paper).

pairing | Feature of Bluetooth that establishes connectivity between two devices, often by entering a PIN.

patch cord | Type of flexible network cable typically terminated with RJ45 connectors. Ethernet patch cords cannot be longer than five meters.

patch panel | Type of distribution frame used with twisted pair cabling with IDCs to terminate fixed cabling on one side and modular jacks to make cross-connections to other equipment on the other.

PCIe | PCI Express (PCIe)  Internal expansion bus that uses serial point-to-point communications between devices. Each link can comprise one or more lanes (x1, x2, x4, x8, x12, x16, or x32). Each lane supports a full-duplex transfer rate of <span>25 |0 MB/s (v1.0) up to about 4 GB/s (v5.0).

PCI | peripheral component interconnect (PCI)  Legacy internal expansion bus supporting 32-bit parallel transfers working at 33 MHz.

permanent cable | Type of solid network cable typically terminated to punchdown blocks that is run through wall and ceiling spaces.

PAN | personal area network (PAN)  Network scope that uses close-range wireless technologies (usually based on Bluetooth or NFC) to establish communications between personal devices, such as smartphones, laptops, and printers/peripheral devices. 

pickup rollers | Print device components that feed paper between the input tray, print engine, and output tray.

PGA | pin grid array (PGA)  CPU socket form factor used predominantly by AMD where connector pins are located on the CPU package.

POTS | plain old telephone system (POTS)  Parts of a telephone network "local loop" that use voice-grade cabling. Analog data transfer over POTS using dial-up modems is slow (33.3 Kb/s).

PaaS | platform as a service (PaaS)  Cloud service model that provisions application and database services as a platform for development of apps.

Plenum | Cable for use in building voids designed to be fire-resistant and to produce a minimal amount of smoke if burned.

port (TCP/UDP)  In TCP and UDP applications, a unique number assigned to a particular application protocol. Server ports are typically assigned well-known or registered numbers, while client ports use dynamic or ephemeral numbering.

port flapping | Network error where a port transitions rapidly between up and down states.

port replicator | A simple device used to extend the range of ports (for example, USB, DVI, HDMI, Thunderbolt, network, and so on) available for a laptop computer when it is used on a desk.

POP | Post Office Protocol (POP)  Application protocol that enables a client to download email messages from a server mailbox to a client over port TCP/110 or secure port TCP/995.

PS | PostScript (PS)  Page description language developed by Adobe that is capable of creating accurate, device-independent output (this means that two different printer models will produce exactly the same output from the same print file).

PoE | Power over Ethernet (PoE)  Specification allowing power to be supplied via switch ports and ordinary data cabling to devices such as VoIP handsets and wireless access points. Devices can draw up to about 13 W (or 25 W for PoE+).

power supply tester | Type of meter designed to test that output voltages from PSU power connector cables are within expected tolerances.

PSU | power supply unit (PSU)  Transformer that converts AC grid power into 3.3V, 5V, and 12V DC to power components on the motherboard. The type of PSU must match the case and motherboard form factor.

POST | power-on self-test (POST)  Test routine built into PC firmware to confirm that system components are available at boot or to signal an error condition via a beep code or on-screen status message.

PRL | preferred roaming list (PRL)  Data that allows a CDMA-based handset to connect to nearby cell towers.

print bed | 3-D print device component on which output is deposited.

print device | Term used to describe the actual printer hardware that services a print job when submitted from an application.

print monitor | In Windows, the print monitor is a process that checks the print queue (%SystemRoot%\System32\Spool\Printers\) for print jobs. When they arrive, they are processed, if necessary, then passed via a print port to the print device. 

print server | Computer configured to share a connected printer with other hosts. The client hosts connect to the printer share rather than directly to the print device.

printer | "Printer" is often used to mean "print device" but also refers to a term used to describe the software components of a printing solution. The printer is the object that Windows sends output to. It consists of a spool directory, a printer driver, and configuration information.

PCL | Printer Control Language (PCL)  Page description and printer control language developed by HP to implement printer driver functionality.

private cloud | Cloud that is deployed for use by a single entity.

PLC | programmable logic controller (PLC)  Type of processor designed for deployment in an industrial or outdoor setting that can automate and monitor mechanical systems.

proxy server | Server that mediates the communications between a client and another server. It can filter and often modify communications as well as provide caching services to improve performance.

public cloud (multitenant)  Cloud that is deployed for shared use by multiple independent tenants.

public IP address | Some IP address ranges are designated for use on private networks only. Packets with source IP addresses in public ranges are permitted to be forwarded over the Internet. Packets with source IP addresses from private ranges should be blocked at Internet gateways or forwarded using some type of translation mechanism.

PSTN | public switched telephone network (PSTN)  Global network connecting national telecommunications systems.

punchdown tool | Tool used to terminate solid twisted-pair copper cable to an insulation displacement connector block.

quadruple-channel | System-memory controller configuration that provides four data pathways between the memory modules and a compatible CPU.

QoS | quality of service (QoS)  Systems that differentiate data passing over the network that can reserve bandwidth for particular applications. A system that cannot guarantee a level of available bandwidth is often described as Class of Service (CoS).

RFID | radio-frequency ID (RFID)  Means of encoding information into passive tags, which can be energized and read by radio waves from a reader device.

RAID0 | Striping drive configuration that provides no redundancy against device failure.

RAID1 | Mirrored two-disk redundant drive configuration with 50% capacity utilization.

RAID10 | Stripe of mirrored four-disk redundant drive configuration with 50% capacity utilization. A RAID10 volume can support the loss of one device in each mirror.

RAID5 | Striping with parity-redundant drive configuration supporting a flexible number of devices and better than 50% capacity utilization.

RAM | random-access memory (RAM)  Volatile storage devices that hold computer data and program instructions while the computer is turned on.

